Unavngivet regneark - Ark1(1)
title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Inrō in the Shape of Mount Fuji with a Crossing Ferry and Procession;Maki-e by Kajikawa (Japanese, 1652–1724);Kajikawa;Japan;<p>Maki-e by Kajikawa (Japanese, 1652–1724) </p><p>Date: late 18th–early 19th century<br/>Accession Number: 13.67.93</p>;"/art/collection/search/45440?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=11";https://images.metmuseum.org/CRDImages/as/mobile-large/DP276707.jpg;as/web-additional/DP276707.jpg;as/web-large/DP276707.jpg;late 18th–early 19th century;"Two cases; lacquered wood with gold and silver takamaki-e, hiramaki-e, togidashimaki-e, cut-out gold foil on nashiji lacquer ground
 
 Netsuke: ivory; Ryūgūjō (The Dragon King's undersea palace) in a clam
 
 Ojime: agate bead";14.08.33;Not on view
Case (Inrō) with Design of Maple Leaves on Conventionalized Waves;;;Japan;<p>Date: ca. 1820<br/>Accession Number: 29.100.843</p>;"/art/collection/search/45507?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=12";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_843_O3.JPG;as/web-additional/29_100_843_O3.JPG;as/web-large/29_100_843_O3.JPG;ca. 1820;"Sprinkled gold and silver lacquer with inlaid mother-of-pearl; ojime is nut carved with dragon motifs; netsuke is dancer carved in wood with ivory bugaku mask; Interior: nashiji, fundame and roiro";30.54.03;Not on view
"Case (Inrō) with Design of Dragonfly (obverse); Praying Mantis (reverse)";;;Japan;<p>Date: 19th century<br/>Accession Number: 29.100.902</p>;"/art/collection/search/58826?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=13";https://images.metmuseum.org/CRDImages/as/mobile-large/DP252595.jpg;as/web-additional/DP252595.jpg;as/web-large/DP252595.jpg;19th century;"Case: powdered gold (maki-e) and colored lacquer on black lacquer; Fastener (ojime): metal with design of dragon blossoms; Toggle (netsuke): ivory carved in the shape of a gourd and cicada";30.55.02;Not on view
Dragon King;Unidentified Artist;Unidentified;Japan;<p>Unidentified Artist</p><p>Date: 16th–17th century<br/>Accession Number: 2019.420.20</p>;"/art/collection/search/829397?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=14";https://images.metmuseum.org/CRDImages/as/mobile-large/DP-23439-002.jpg;as/web-additional/DP-23439-002.jpg;as/web-large/DP-23439-002.jpg;16th–17th century;"Hanging scroll; ink, color, and gold on silk";2026.00.20;Not on view
Dish with dragon;;;China;<p>Date: dated 1595<br/>Accession Number: 2015.500.1.53</p>;"/art/collection/search/40251?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=15";https://images.metmuseum.org/CRDImages/as/mobile-large/DP214664.jpg;as/web-additional/DP214664.jpg;as/web-large/DP214664.jpg;dated 1595;Polychrome lacquer with filled-in and engraved gold decoration;2015.500.1.53;Not on view
Hero and Dragon;;;;<p>Date: third quarter 16th century<br/>Accession Number: 25.83.7</p>;"/art/collection/search/447805?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=16";https://images.metmuseum.org/CRDImages/is/mobile-large/DP234072.jpg;is/web-additional/DP234072.jpg;is/web-large/DP234072.jpg;third quarter 16th century;Ink, watercolor, and gold on paper;26.23.07;Not on view
Set of Sword Fittings (Mitokoromono);Gotō Eijō (Japanese, 1577–1617, sixth-generation Gotō master);Gotō Eijō;Japanese;<p>Gotō Eijō (Japanese, 1577–1617, sixth-generation Gotō master) </p><p>Date: late 16th–early 17th century<br/>Accession Number: 45.24.56a–e</p>;"/art/collection/search/24723?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=17";/content/img/placeholders/NoImageAvailableIcon.png;/content/img/placeholders/NoImageAvailableIcon.png;/content/img/placeholders/noimage534x534.png;late 16th–early 17th century;Gold, silver;45.24.56a–e;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mjk1ODE0LDQwLjc4MDAwMTE1QGxtQDQ3MjQ3NzM2ODM3Ng==' target='_blank'>Gallery 378</a>
Plaque with Dragon;;;China (Xinjiang Autonomous Region, Central Asia);<p>Date: 7th–9th century<br/>Accession Number: 2002.556.4</p>;"/art/collection/search/65162?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=18";https://images.metmuseum.org/CRDImages/as/mobile-large/DP271834.jpg;as/web-additional/DP271834.jpg;as/web-large/DP271834.jpg;7th–9th century;Gold;2011.16.04;Not on view
Saint Michael and the Dragon;Spanish (Valencian) Painter (active in Italy, early 15th century);Spanish (Valencian) Painter;;<p>Spanish (Valencian) Painter (active in Italy, early 15th century) </p><p>Date: ca. 1405<br/>Accession Number: 12.192</p>;"/art/collection/search/437742?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=19";https://images.metmuseum.org/CRDImages/ep/mobile-large/DP-24152-001.jpg;ep/web-additional/DP-24152-001.jpg;ep/web-large/DP-24152-001.jpg;ca. 1405;Tempera on wood, gold ground;15.12;Not on view
Jason pacifying the dragon;;;probably Italian;<p>Date: early 19th century<br/>Accession Number: 61.109.4</p>;"/art/collection/search/202571?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=20";https://images.metmuseum.org/CRDImages/es/mobile-large/SF61_109_4_img1.jpg;es/web-additional/SF61_109_4_img1.jpg;es/web-large/SF61_109_4_img1.jpg;early 19th century;Carnelian and gold;62.49.04;Not on view
Armor (<i>Gusoku</i>);;;Japanese;<p>Date: late 18th–19th century<br/>Accession Number: 14.100.171a–s</p>;"/art/collection/search/26799?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=21";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP336903.jpg;aa/web-additional/DP336903.jpg;aa/web-large/DP336903.jpg;late 18th–19th century;Iron, lacquer, gold, silver, copper alloy, leather, silk;14.100.171a–s;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzA0MzgzLDQwLjc3OTg4MzY0QGxtQDE3MjYzNTMzNTY4Ng==' target='_blank'>Gallery 377</a>
Armor (<i>Gusoku</i>);;;Japanese;"<p>Date: late 18th–19th century<br/>Accession Number: 14.100.171a, d–s; 36.25.164c, d</p>";"/art/collection/search/676819?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=22";https://images.metmuseum.org/CRDImages/aa/mobile-large/DP336903.jpg;aa/web-additional/DP336903.jpg;aa/web-large/DP336903.jpg;late 18th–19th century;Iron, lacquer, gold, silver, copper alloy, leather, silk;"14.100.171a, d–s; 36.25.164c, d";On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzA0MzgzLDQwLjc3OTg4MzY0QGxtQDE3MjYzNTMzNTY4Ng==' target='_blank'>Gallery 377</a>
Knife Handle (Kozuka);Gotō Yūjō (Japanese, ca. 1440–1512, first-generation Gotō master);Gotō Yūjō;Japanese;<p>Gotō Yūjō (Japanese, ca. 1440–1512, first-generation Gotō master) </p><p>Date: late 15th–early 16th century<br/>Accession Number: 45.24.1</p>;"/art/collection/search/24742?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=23";/content/img/placeholders/NoImageAvailableIcon.png;/content/img/placeholders/NoImageAvailableIcon.png;/content/img/placeholders/noimage534x534.png;late 15th–early 16th century;Copper-gold alloy (shakudō), gold;45.24.01;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mjk1ODE0LDQwLjc4MDAwMTE1QGxtQDQ3MjQ3NzM2ODM3Ng==' target='_blank'>Gallery 378</a>
Knife Handle (Kozuka);Gotō Jōshin (Japanese, ca. 1513–1562, third-generation Gotō master);Gotō Jōshin;Japanese;<p>Gotō Jōshin (Japanese, ca. 1513–1562, third-generation Gotō master) </p><p>Date: mid-16th century<br/>Accession Number: 45.24.3</p>;"/art/collection/search/24744?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=24";/content/img/placeholders/NoImageAvailableIcon.png;/content/img/placeholders/NoImageAvailableIcon.png;/content/img/placeholders/noimage534x534.png;mid-16th century;Copper-gold alloy (shakudō), gold;45.24.03;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2Mjk1ODE0LDQwLjc4MDAwMTE1QGxtQDQ3MjQ3NzM2ODM3Ng==' target='_blank'>Gallery 378</a>
Roundel with Four-Clawed Dragon (Mang);;;China;<p>Date: 18th century<br/>Accession Number: 65.236</p>;"/art/collection/search/64916?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=25";https://images.metmuseum.org/CRDImages/as/mobile-large/184537.jpg;as/web-additional/184537.jpg;as/web-large/184537.jpg;18th century;Silk and gold thread tapestry (kesi);68.56.00;Not on view
Covered square box with dragon;;;China;<p>Date: dated 1610<br/>Accession Number: 2015.500.1.55a, b</p>;"/art/collection/search/40254?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=26";https://images.metmuseum.org/CRDImages/as/mobile-large/DP704194.jpg;as/web-additional/DP704194.jpg;as/web-large/DP704194.jpg;dated 1610;Polychrome lacquer with filled-in and engraved gold decoration;2015.500.1.55a, b;Not on view
Saint George and the Dragon;;;Austrian, Vienna;<p>Date: ca. 1330<br/>Accession Number: 29.158.770</p>;"/art/collection/search/34032?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=27";https://images.metmuseum.org/CRDImages/aa/mobile-large/sf29-158-770s1.jpg;aa/web-additional/sf29-158-770s1.jpg;aa/web-large/sf29-158-770s1.jpg;ca. 1330;Wood, gesso, polychromy, gold;31.50.50;Not on view
The Belles Heures of Jean de France, duc de Berry;The Limbourg Brothers (Franco-Netherlandish, active France, by 1399–1416);The Limbourg Brothers;French;<p>The Limbourg Brothers (Franco-Netherlandish, active France, by 1399–1416) </p><p>Date: 1405–1408/1409<br/>Accession Number: 54.1.1a, b</p>;"/art/collection/search/470306?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=28";https://images.metmuseum.org/CRDImages/cl/mobile-large/DP313153.jpg;cl/web-additional/DP313153.jpg;cl/web-large/DP313153.jpg;1405–1408/1409;Tempera, gold, and ink on vellum;54.1.1a, b;On view at The Met Cloisters in <a href='https://maps.metmuseum.org' target='_blank'>Gallery 13</a>
The Cloisters Apocalypse;;;French;<p>Date: ca. 1330<br/>Accession Number: 68.174</p>;"/art/collection/search/471869?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=29";https://images.metmuseum.org/CRDImages/cl/mobile-large/DP225775.jpg;cl/web-additional/DP225775.jpg;cl/web-large/DP225775.jpg;ca. 1330;"Tempera, gold, silver, and ink on parchment; later leather binding";70.54.00;On view at The Met Cloisters in <a href='https://maps.metmuseum.org' target='_blank'>Gallery 13</a>
Sword Guard (<i>Tsuba</i>) Depicting Dragon in Waves (波に龍図鐔);;;Japanese;<p>Date: 19th century<br/>Accession Number: 91.1.761</p>;"/art/collection/search/25680?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=30";https://images.metmuseum.org/CRDImages/aa/mobile-large/91.1.761_002jan2014.jpg;aa/web-additional/91.1.761_002jan2014.jpg;aa/web-large/91.1.761_002jan2014.jpg;19th century;Iron, gold, copper;91.13.41;Not on view
Sword Guard (<i>Tsuba</i>) Depicting Dragon Between Waves (波龍図鐔);;;Japanese;<p>Date: 19th century<br/>Accession Number: 91.1.786</p>;"/art/collection/search/25705?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=31";https://images.metmuseum.org/CRDImages/aa/mobile-large/91.1.786_001jan2014.jpg;aa/web-additional/91.1.786_001jan2014.jpg;aa/web-large/91.1.786_001jan2014.jpg;19th century;Copper-gold alloy (shakudō), gold, copper;91.14.06;Not on view
Ornament with Decoration of a Dragon;Accession Number: 21.117.8;;Korea;<p>Accession Number: 21.117.8</p>;"/art/collection/search/57531?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=32";https://images.metmuseum.org/CRDImages/as/mobile-large/21_117_8.JPG;as/web-additional/21_117_8.JPG;as/web-large/21_117_8.JPG;;Gold;22.57.08;Not on view
Belt Buckle with Dragon and Fantastic Creature;;;China;<p>Date: 1st century BCE–1st century CE<br/>Accession Number: 2002.201.185</p>;"/art/collection/search/59569?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=33";https://images.metmuseum.org/CRDImages/as/mobile-large/DP-18883-001.jpg;as/web-additional/DP-18883-001.jpg;as/web-large/DP-18883-001.jpg;1st century BCE–1st century CE;Gold inlaid with quartz;2005.24.05;Not on view
Case (Inrō) with Design of Dragon Facing Front;;;Japan;<p>Date: 19th century<br/>Accession Number: 29.100.893</p>;"/art/collection/search/58818?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=34";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_893_O3.JPG;as/web-additional/29_100_893_O3.JPG;as/web-large/29_100_893_O3.JPG;19th century;"Lacquer, brown and silver nashiji, gold and coloured hiramakie, inlaid eyes; Interior: red lacquer and fundame";30.54.53;Not on view
Case (Inrō) with Design of Dragon among Swirling Clouds;Hogen Eisen;Hogen Eisen;Japan;<p>Hogen Eisen</p><p>Date: 18th–19th century<br/>Accession Number: 29.100.838</p>;"/art/collection/search/58765?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=35";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_838_O3.JPG;as/web-additional/29_100_838_O3.JPG;as/web-large/29_100_838_O3.JPG;18th–19th century;"Lacquer, red ground, gold and black togidashi; Interior: nashiji and fundame";30.53.58;Not on view
Chilins (Chinese Chimerical Creatures) Fighting with a Dragon;;;;<p>Date: 16th century<br/>Accession Number: 55.121.35</p>;"/art/collection/search/451319?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=36";https://images.metmuseum.org/CRDImages/is/mobile-large/sf55-121-35.jpg;is/web-additional/sf55-121-35.jpg;is/web-large/sf55-121-35.jpg;16th century;Ink, opaque watercolor, and gold on paper;57.01.35;Not on view
"""The Elephant Clock"", Folio from a Book of the Knowledge of Ingenious Mechanical Devices by al-Jazari";Farrukh ibn `Abd al-Latif;Farrukh ibn `Abd al-Latif;;<p>Farrukh ibn `Abd al-Latif</p><p>Date: dated 715 AH/1315 CE<br/>Accession Number: 57.51.23</p>;"/art/collection/search/451402?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=37";https://images.metmuseum.org/CRDImages/is/mobile-large/DP234075.jpg;is/web-additional/DP234075.jpg;is/web-large/DP234075.jpg;dated 715 AH/1315 CE;Ink, opaque watercolor, and gold on paper;57.51.23;Not on view
Case (Inrō) with Design of Dragon Flies;;;Japan;<p>Date: 18th–19th century<br/>Accession Number: 29.100.904</p>;"/art/collection/search/58828?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=38";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_904_O3.JPG;as/web-additional/29_100_904_O3.JPG;as/web-large/29_100_904_O3.JPG;18th–19th century;"Lacquer, fundame, gold, brown and red hiramakie, takamakie, ceramic inlay; Interior: roiro and fundame";30.55.04;Not on view
"""Isfandiyar&#39;s Third Course: He Slays a Dragon"", Folio 434v from the Shahnama (Book of Kings) of Shah Tahmasp";"Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)";Abu'l Qasim Firdausi;;"<p>Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus) </p><p>Date: ca. 1530<br/>Accession Number: 1970.301.51</p>";"/art/collection/search/452160?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=39";https://images.metmuseum.org/CRDImages/is/mobile-large/DP107166.jpg;is/web-additional/DP107166.jpg;is/web-large/DP107166.jpg;ca. 1530;Opaque watercolor, ink, silver, and gold on paper;1975.01.51;Not on view
Madonna and Child Enthroned;Carlo Crivelli (Italian, Venice (?), active by 1457–died 1494/95 Ascoli Piceno);Carlo Crivelli;;<p>Carlo Crivelli (Italian, Venice (?), active by 1457–died 1494/95 Ascoli Piceno) </p><p>Date: 1472<br/>Accession Number: 1982.60.5</p>;"/art/collection/search/436051?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=40";https://images.metmuseum.org/CRDImages/ep/mobile-large/DT8827.jpg;ep/web-additional/DT8827.jpg;ep/web-large/DT8827.jpg;1472;Tempera on wood, gold ground;1983.00.05;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzUxMTY0LDQwLjc3OTI2NTc3QGxtQDQ5NzcxNjcyNTMxNw==' target='_blank'>Gallery 537</a>
Sword Guard (<i>Tsuba</i>) Depicting Dragon and Paulownia Leaves With Tendrils (龍と桐唐草図鐔);;;Japanese;<p>Date: ca. 1615–1868<br/>Accession Number: 91.1.763</p>;"/art/collection/search/25682?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=41";https://images.metmuseum.org/CRDImages/aa/mobile-large/91.1.763_001jan2014.jpg;aa/web-additional/91.1.763_001jan2014.jpg;aa/web-large/91.1.763_001jan2014.jpg;ca. 1615–1868;Iron, copper, gold;91.13.43;Not on view
Ritual Censer;;;Tibet;<p>Date: 15th–16th century<br/>Accession Number: 1987.416.2</p>;"/art/collection/search/39399?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=42";https://images.metmuseum.org/CRDImages/as/mobile-large/DP102619.jpg;as/web-additional/DP102619.jpg;as/web-large/DP102619.jpg;15th–16th century;Iron inlaid with gold;1993.56.02;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MTk2NzQyLDQwLjc4MDA3ODU1QGxtQDMyMDA5ODk5NzY1OA==' target='_blank'>Gallery 253</a>
Case (Inrō) with Design of Dragon among Clouds and Waves;;;Japan;<p>Date: 17th–18th century<br/>Accession Number: 91.1.689</p>;"/art/collection/search/58468?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=43";https://images.metmuseum.org/CRDImages/as/mobile-large/DP-15452-123.jpg;as/web-additional/DP-15452-123.jpg;as/web-large/DP-15452-123.jpg;17th–18th century;"Lacquer, roiro, rubbed fundame, gold, red and black hiramakie, tortoiseshell; Interior: nashiji and fundame";91.12.29;Not on view
Case (Inrō) with Design of Flaming Dragon with Clouds;;;Japan;<p>Date: mid-19th century<br/>Accession Number: 91.1.709</p>;"/art/collection/search/58484?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=44";https://images.metmuseum.org/CRDImages/as/mobile-large/91_1_709_O3.JPG;as/web-additional/91_1_709_O3.JPG;as/web-large/91_1_709_O3.JPG;mid-19th century;"Lacquer, roiro, gold, silver and red hiramakie, takamakie, raden, aogai; Interior: nashiji, divided, silver metal tray";91.12.49;Not on view
Case (Inrō) with Design of Dragon on Background of Clouds and Waves;;;Japan;<p>Date: 17th–18th century<br/>Accession Number: 36.100.262</p>;"/art/collection/search/58945?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=45";https://images.metmuseum.org/CRDImages/as/mobile-large/36_100_262_O1.JPG;as/web-additional/36_100_262_O1.JPG;as/web-large/36_100_262_O1.JPG;17th–18th century;"Lacquer, roiro, fundame, gold, brown and red hiramakie, metal cord runners; Interior: nashiji and fundame";37.44.22;Not on view
Square Dish with Stone Wall and Phoenix and Dragon Cartouches;;;Japan;<p>Date: early 18th century<br/>Accession Number: 93.3.409</p>;"/art/collection/search/46999?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=46";https://images.metmuseum.org/CRDImages/as/mobile-large/30255.jpg;as/web-additional/30255.jpg;as/web-large/30255.jpg;early 18th century;Porcelain with underglaze blue and overglaze polychrome enamels, gold (Arita ware, Imari type);93.09.49;Not on view
"Case (Inrō) with Design of Dragon (obverse); Tiger (reverse)";;;Japan;<p>Date: 17th–18th century<br/>Accession Number: 12.134.19</p>;"/art/collection/search/58520?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=47";https://images.metmuseum.org/CRDImages/as/mobile-large/12_134_19_O3.JPG;as/web-additional/12_134_19_O3.JPG;as/web-large/12_134_19_O3.JPG;17th–18th century;"Lacquer, roiro, brown, black, red and gold hiramakie, applied metal; Interior: nashiji and fundame";14.14.19;Not on view
Case (Inrō) with Design of Dragon in Clouds Emerging from Waves before Mount Fuji;;;Japan;<p>Date: 19th century<br/>Accession Number: 29.100.800</p>;"/art/collection/search/58632?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=48";https://images.metmuseum.org/CRDImages/as/mobile-large/29_100_800_O3.JPG;as/web-additional/29_100_800_O3.JPG;as/web-large/29_100_800_O3.JPG;19th century;"Lacquer, kinji, nashiji, gold, silver and black hiramakie, togidashi; Interior: nashiji and fundame";30.53.20;Not on view
Case (Inrō) with Design of Chōryo and Kosekiko with the Shoe and the Dragon;;;Japan;<p>Date: 19th century<br/>Accession Number: 31.49.11</p>;"/art/collection/search/58863?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=49";https://images.metmuseum.org/CRDImages/as/mobile-large/31_49_11_O3.JPG;as/web-additional/31_49_11_O3.JPG;as/web-large/31_49_11_O3.JPG;19th century;"Lacquer, kinji, gold, silver, black and brown hiramakie, kirigane, metal inlay; Interior: nashiji and fundame";31.49.11;Not on view
